segment_id,start_time,end_time,rms_energy,zero_crossing_rate,spectral_centroid,spectral_bandwidth,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13
1,0.0,0.06999999999999999,0.07808557,0.06800130208333334,2752.803370670525,3449.146096512971,-428.9859,111.593,1.700115,-17.37911,-29.166836,-8.046976,-8.810482,-5.1803327,1.8937414,-1.0733302,4.3561683,8.436739,-2.8597376
2,0.0,0.27999999999999997,0.09785712,0.05166903409090909,2171.773497280058,2880.625719668618,-338.87415,128.44174,-0.28617927,-27.195965,-48.015316,-14.766851,-8.790115,-9.244685,-3.9500403,-7.2027297,6.7276196,16.784044,6.3464727
3,0.21000000000000002,0.9099999999999999,0.14804643,0.03624603713768116,1695.3734626459202,2444.9354357708858,-277.78305,153.13663,8.263879,-20.054071,-61.242245,-21.85433,-6.4152436,-10.43249,-9.028713,-10.163522,0.78000623,6.9250484,7.5232058
13,1.47,1.8199999999999998,0.13793032,0.04805188301282051,2456.518559755607,3267.087593737338,-306.58316,108.799995,0.96072704,-6.7625747,-29.999517,-6.1771398,-0.28660563,-3.8793108,-4.2069,-12.160357,-10.905831,-2.990097,0.2918296
24,2.52,2.87,0.1256686,0.04299379006410257,1937.1753992795736,2718.58479524956,-290.12775,167.11522,-0.75545245,-16.151232,-51.45455,-10.309782,-5.80749,-1.0959373,-9.371386,-16.355762,-4.1878886,2.263628,-6.0497904
37,3.6399999999999997,3.9899999999999998,0.13235636,0.06025891426282051,2893.2524985222653,3493.144176721129,-288.9157,115.83013,2.0475535,-8.719452,-40.867073,-2.9569554,1.274812,2.461697,-1.8563911,-11.168433,0.01739945,7.6456995,5.950685
45,4.41,4.83,0.055387337,0.05456814236111111,2381.465898355233,3179.1665246365105,-360.6391,140.51797,5.253619,-20.260468,-53.937515,-5.2735357,-0.64275736,-3.517288,-6.3532743,-6.8356004,2.0602353,8.901621,2.5144873
52,5.18,5.53,0.12363627,0.04230518830128205,1911.953499000984,2586.041943734474,-295.9147,149.09099,1.2321061,-20.197714,-40.71319,-12.073575,-8.50428,-7.7847486,-8.133019,-15.912207,-1.7601715,7.4564395,-1.6294744
53,5.46,5.8100000000000005,0.113685526,0.03290264423076923,1384.4244654038382,2104.0700195700556,-306.21014,179.6962,14.69095,-29.922867,-60.989822,-21.421078,-6.6456203,-11.468225,-12.492621,-12.973313,2.2713845,8.250424,-0.031576518
55,5.8100000000000005,6.2299999999999995,0.09570009,0.038726128472222225,1687.1711759863929,2467.6682491916367,-324.7839,155.44022,13.604684,-21.499426,-49.760628,-22.06501,-4.37313,-8.918777,-4.938664,-5.472817,1.7660592,3.9663062,-0.42383197
65,6.79,7.140000000000001,0.07069791,0.04413311298076923,2124.9317749462634,3030.7553338417033,-373.55643,136.16675,-4.195036,-20.639303,-39.70268,-11.40719,4.9999075,-0.7864454,-5.492502,-7.890323,-0.64276844,12.52383,7.788316
73,7.56,7.91,0.09193031,0.044759114583333336,2088.4476131604847,2906.8589341538805,-348.65765,133.17815,-7.806596,-26.327105,-44.529316,-11.214058,1.1979215,-4.08889,-3.666491,-6.8218894,7.0749106,17.738655,6.8291516
84,8.540000000000001,8.89,0.07299309,0.04523487580128205,1954.982576731629,2589.049935880301,-362.4374,161.39085,-8.121357,-25.468235,-48.670593,-7.4758363,-5.974174,-12.49125,-6.043918,-8.821401,5.41503,19.716055,4.3138385
85,8.82,9.17,0.09284635,0.035081129807692304,1370.9122970716494,2004.0724026801613,-326.61627,178.87671,9.0345125,-32.49235,-67.7639,-23.938187,-6.0344095,-18.749357,-12.5700445,-3.7664442,7.4425235,10.755187,2.644158
86,9.1,9.52,0.06746871,0.036219618055555555,1458.874933681008,2169.3627150654256,-359.17596,183.12517,10.028814,-25.942781,-62.485573,-22.852278,-3.261318,-12.120714,-6.486733,2.4913244,7.168925,3.3313446,-1.1018003
94,9.94,10.290000000000001,0.06733361,0.046261518429487176,1721.8915565839004,2401.2746049680477,-346.23727,154.15977,-3.3701928,-34.334763,-51.085056,-7.709293,7.36647,-5.7313466,-7.70286,-12.060863,-0.64888585,9.0866375,2.8134131
102,10.709999999999999,11.129999999999999,0.07199327,0.05046657986111111,1970.6398127208563,2506.919353281973,-328.61557,158.59993,-8.607255,-27.352404,-55.235237,-7.0296474,7.384151,-3.8311038,-4.899304,-3.3005083,-2.2893105,1.1241019,2.5067487
116,11.97,12.11,0.07634332,0.05433872767857143,2714.4007685889833,3295.635494584477,-291.5347,145.23291,-12.3190975,12.864127,-26.62111,-1.5038072,1.1163359,1.3243589,-9.402517,-1.6645224,-1.1175455,3.2720551,0.3074696
117,12.04,12.389999999999999,0.16817187,0.049191205929487176,2230.81722960709,2873.2165338950513,-241.81075,144.78297,-9.076909,-8.414195,-39.552166,-5.579203,-1.022206,1.4825528,-2.7431862,-3.4040735,-3.1124916,6.1741595,-2.7098274
123,12.67,13.089999999999998,0.08953635,0.039463975694444445,1688.0925475674594,2590.481481622272,-331.90265,150.2058,10.449561,-21.57326,-32.90178,8.034022,10.182844,-5.700636,-7.6338673,0.20389251,0.44741592,2.3223562,6.100987
