segment_id,start_time,end_time,rms_energy,zero_crossing_rate,spectral_centroid,spectral_bandwidth,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13
31,3.3600000000000003,3.9899999999999998,0.08738066,0.07855902777777778,2747.2103144682615,2553.8641945223458,-259.12027,117.95672,-109.55204,-13.122469,-29.641125,-8.557373,-36.81044,21.742891,7.0149503,15.018611,1.8087972,-6.483153,2.7318792
65,8.120000000000001,8.75,0.0727256,0.07660590277777778,2601.832563848617,2378.8821116030463,-277.78937,132.28735,-111.108345,-20.46243,-23.945219,-12.261586,-34.33239,23.863724,6.8129587,18.539373,1.9623122,-1.4270625,5.4296803
79,10.43,11.06,0.10421406,0.08869667658730158,2893.0168584583384,2539.249554317498,-233.08865,110.827255,-113.74889,-15.3357525,-32.78501,-11.476656,-33.029896,16.799715,5.153413,18.315804,1.9820979,-5.229727,-2.1577797
92,12.389999999999999,13.02,0.0807604,0.07410249255952381,2742.7262470913934,2601.322914538624,-264.8385,122.66964,-103.401245,-17.301031,-24.705208,-14.696268,-35.034405,19.726837,6.6591635,24.977148,2.968299,-5.574462,1.8085152
113,15.26,15.89,0.0896509,0.09806702628968254,3348.2967422906895,2871.6285531904205,-248.27301,99.95224,-102.73636,-11.286725,-34.34685,-7.8960414,-27.256517,18.233322,11.548951,16.162663,-3.6826696,-1.9422644,-0.65678763
134,17.5,18.13,0.094222635,0.09739273313492064,3375.2300481020065,3005.229836998732,-244.77351,103.745544,-100.27947,-5.5506907,-28.152742,-3.6822677,-39.43438,25.683823,4.937314,21.9737,-4.557123,-0.9587563,3.9104037
148,19.46,20.16,0.09892084,0.09265313632246377,3260.0170497896333,2906.902303152818,-239.69144,103.86259,-107.449066,-6.8227386,-29.571833,-2.2788649,-36.869038,26.26974,1.4572912,19.582256,-5.8619456,-1.4675009,2.7671177
164,21.56,22.19,0.081845924,0.08540271577380952,2968.0113721772227,2657.8216784019887,-249.77985,116.82964,-109.06551,-9.885784,-32.118248,-10.477047,-33.713528,19.756681,4.459236,18.00038,2.7276292,1.034111,0.7096622
182,23.94,24.57,0.08550325,0.06549169146825397,2760.6892748880946,2693.9158024360167,-250.10468,120.63283,-104.87534,-16.568106,-23.867039,-10.2179165,-32.244293,24.116785,-2.7023878,16.935452,1.0865469,4.741848,1.9209354
200,25.76,26.39,0.07591911,0.08489118303571429,2915.7664412192257,2592.3528553778733,-262.06226,115.74873,-110.85498,-12.688793,-30.439272,-16.149715,-29.385138,21.9805,1.5005423,16.844799,-2.723763,3.33018,1.2785236
