segment_id,start_time,end_time,rms_energy,zero_crossing_rate,spectral_centroid,spectral_bandwidth,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13
9,0.63,1.0499999999999998,0.060740106,0.06686197916666667,2729.599928973598,3526.1299422443435,-328.2586,136.64917,-4.6847405,-36.917606,-45.571445,10.025146,-26.436676,16.869219,-10.685634,-5.119175,-5.76718,0.33712736,11.656434
10,0.98,1.4,0.0632798,0.07021484375,2845.268034212241,3506.1580615928287,-339.6523,135.43248,-6.6652427,-37.172527,-41.56668,18.837942,-24.825779,17.780128,-15.031841,-8.382574,-5.9910846,-0.120097704,15.429759
27,2.4499999999999997,3.5700000000000003,0.11167408,0.06681161556603774,2506.0276036443724,3046.2306086588706,-312.43716,136.65208,-10.931652,-50.398636,-42.752934,6.882649,-11.070302,19.229303,-15.196318,-11.900539,0.65862507,-10.295014,-2.200215
28,3.5,3.78,0.11511155,0.06972064393939394,2895.2840784487457,3524.6000225400317,-319.90738,121.5466,-4.115494,-44.261723,-37.288654,0.8364563,-9.334749,24.418903,-7.8045597,-12.029726,0.17207715,-7.051718,2.5794086
30,3.8499999999999996,3.9899999999999998,0.059668727,0.07882254464285714,3072.5727012665147,3815.2085652955625,-318.5932,135.79417,-2.2239156,-41.691383,-49.679047,5.5146856,-12.654011,22.900244,-13.707322,-8.885361,-1.5508611,-6.880413,-2.7805905
31,3.92,4.55,0.09702518,0.08027188740079365,3044.239200703127,3546.8561194126323,-332.61478,124.67546,1.9026108,-40.22842,-40.807884,5.60182,-7.17957,23.62186,-13.5042,-12.951077,1.0085359,-8.954354,8.516439
32,4.4799999999999995,4.76,0.10482002,0.07003136837121213,2854.511239339296,3505.644232385728,-322.43588,128.19548,1.040762,-45.258404,-42.383728,10.114232,-6.1937776,20.102266,-14.605933,-12.363115,-3.2875557,-8.128272,16.019588
33,4.6899999999999995,5.39,0.07158547,0.07048941349637682,2966.330561956129,3623.680290244482,-343.25455,126.30244,1.2497512,-38.804176,-46.03469,9.821634,-15.452202,20.19357,-14.605658,-10.064638,-7.487962,-9.192987,15.626316
34,5.32,5.6,0.07678986,0.06849254261363637,2924.9533050904693,3568.770502574849,-340.01505,128.01602,-7.1680818,-40.13991,-44.963505,9.227222,-22.063208,18.413795,-16.075243,-12.844603,-10.211756,-4.588562,19.944984
35,5.53,5.8100000000000005,0.081191026,0.06917317708333333,3007.0869084548976,3610.728117155815,-337.401,123.64651,0.74807763,-45.32822,-46.362827,4.0497355,-14.2950535,18.72689,-11.955558,-11.820074,-6.024836,-8.61856,15.95842
36,5.74,6.02,0.06745783,0.08034446022727272,3349.106099230305,3929.836573046161,-345.47995,121.19645,6.3695793,-35.28769,-42.958862,10.569687,-13.89872,17.300041,-15.207246,-11.434032,-7.551935,-8.7439995,15.198609
38,6.02,8.120000000000001,0.10858135,0.06039782072368421,2171.550777985495,2468.900926143232,-250.73631,160.92863,-54.196568,-46.870945,-37.905834,-4.6333995,-38.177765,20.354897,-3.4089072,-13.168974,-18.085478,-6.7048006,9.5423355
