segment_id,start_time,end_time,rms_energy,zero_crossing_rate,spectral_centroid,spectral_bandwidth,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13
12,1.4,1.75,0.058237545,0.1916816907051282,5022.241100756695,3306.089568396383,-332.20572,71.15476,-28.830519,42.03987,-39.725018,-19.04609,-12.719737,42.023922,-40.563747,13.584368,30.844131,-5.704308,-11.112103
17,2.17,2.52,0.05561366,0.18480819310897437,5065.660856344855,3384.222659607772,-339.66623,71.02103,-29.614164,40.27577,-36.62818,-15.163457,-16.677975,42.58698,-34.83611,11.087308,26.980856,-8.26564,-14.489372
23,3.22,3.5700000000000003,0.05616273,0.19523737980769232,5241.780699819767,3261.0551669888796,-332.0127,67.73341,-27.610287,46.713917,-37.604183,-15.471529,-18.303604,42.616726,-35.960888,17.10604,30.171387,-9.64486,-11.1618595
66,8.26,8.61,0.055742238,0.19716546474358973,5250.419823397473,3259.8424795608776,-334.0727,68.63021,-27.98706,43.479412,-45.38532,-13.26711,-13.736902,37.042397,-42.945347,16.68713,32.42518,-11.4458,-15.708603
68,8.61,8.959999999999999,0.06015792,0.19047976762820512,5228.769543461019,3336.09310061092,-329.91986,65.49231,-31.091782,46.360153,-39.384377,-15.551961,-17.093555,40.069653,-35.160908,12.194023,33.10159,-9.26541,-13.872903
69,8.89,9.24,0.055158146,0.19275841346153846,5153.240938994969,3306.5300724812164,-333.76752,65.821236,-32.04911,45.27521,-41.27862,-18.254303,-17.165583,39.474518,-35.560177,11.801784,31.298208,-8.068457,-12.361192
71,9.24,9.59,0.06591824,0.20037059294871795,5464.527539957382,3308.0939705183923,-326.736,58.260674,-28.980328,46.38045,-45.30592,-14.607341,-15.385019,42.927155,-37.083565,10.899041,32.695526,-9.912953,-12.75739
72,9.52,9.870000000000001,0.06025359,0.20252403846153846,5454.244610244647,3503.178354172345,-331.47183,62.771023,-27.713715,44.50592,-40.290913,-17.28734,-13.815469,39.319836,-34.11263,12.757562,31.89499,-10.794696,-12.742075
73,9.799999999999999,10.149999999999999,0.058886126,0.19964443108974358,5348.058419158333,3537.9901439463874,-334.92032,63.790226,-24.929972,42.01322,-40.027336,-15.622847,-10.328958,37.122276,-34.78239,12.977704,33.003674,-9.117613,-13.796365
77,10.5,10.85,0.056589585,0.1938601762820513,5088.844398577271,3251.690207767786,-337.59818,67.063774,-26.669731,45.796974,-43.23888,-20.535393,-14.554502,38.97155,-34.427376,14.045726,34.072807,-10.076928,-12.598554
79,10.85,11.2,0.061416823,0.1923828125,5147.709482804287,3284.588461976613,-333.19382,63.19999,-24.522108,46.9605,-41.21529,-17.556961,-13.680666,38.155674,-35.232674,15.532461,32.666206,-10.841253,-13.099736
80,11.129999999999999,11.48,0.059132785,0.18957832532051283,5059.868748636286,3329.822137576373,-333.5116,69.53664,-27.379414,48.41391,-37.233875,-14.603863,-12.695827,40.411808,-34.92081,13.7488985,31.47357,-10.063765,-12.026887
81,11.41,11.549999999999999,0.056923788,0.18319847470238096,5128.236670052975,3350.3270309319187,-324.06503,64.72716,-32.218243,44.091923,-32.671368,-17.319181,-15.622356,40.072174,-34.410973,10.7310505,28.42072,-7.554212,-14.316383
82,11.48,11.83,0.057115324,0.1904296875,5078.380459098573,3366.818033854468,-332.30496,69.71466,-27.95395,42.921497,-39.210953,-15.251956,-13.172888,39.2583,-38.7997,14.550185,31.916958,-9.021033,-15.8074665
84,12.11,12.459999999999999,0.055629328,0.1940479767628205,5061.199675383169,3293.517286809416,-332.48282,72.10828,-31.487885,42.296963,-39.851154,-17.123522,-12.525182,47.02428,-33.001404,17.195023,31.18536,-8.383938,-15.021836
86,12.459999999999999,12.81,0.05734068,0.1959510216346154,5120.127353877978,3316.127624660194,-336.04813,68.17692,-29.53082,39.999454,-38.66037,-17.477726,-11.146932,42.501247,-40.25693,18.248575,33.595654,-11.378866,-12.006023
88,12.81,13.16,0.065131515,0.1959385016025641,5252.226143205927,3511.7330484585023,-324.47842,63.31958,-33.53701,39.260147,-36.201984,-17.7703,-10.50316,40.9325,-38.052986,15.318713,31.681435,-7.001313,-15.975007
89,13.089999999999998,13.440000000000001,0.06172099,0.1928585737179487,5146.303847486135,3559.607860577038,-326.7091,65.89821,-29.669971,40.13882,-36.557503,-18.445919,-11.02178,40.151768,-37.231194,16.756924,29.97742,-6.929442,-15.424001
91,13.440000000000001,13.790000000000001,0.059851367,0.1912685296474359,4936.475183837122,3285.8942933933126,-334.8776,69.221115,-31.203247,43.03046,-40.598995,-16.103575,-11.502293,36.495445,-37.255993,15.262545,30.881485,-6.8828783,-13.361504
93,13.790000000000001,14.14,0.060549095,0.19123096955128205,4863.250030903312,3331.651884251319,-335.0359,73.1256,-23.840857,45.360245,-35.030193,-17.303276,-8.314408,36.061386,-36.487793,15.18116,30.249096,-6.7239566,-15.869326
