segment_id,start_time,end_time,rms_energy,zero_crossing_rate,spectral_centroid,spectral_bandwidth,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13
7,0.98,1.89,0.055447984,0.026333512931034482,957.790148390077,1733.8582973163343,-356.1304,229.09274,38.347492,-14.637225,-33.622265,2.0662901,-16.853636,20.669506,-3.1087148,-7.7324595,-7.2442155,-1.4285315,5.297661
8,1.8199999999999998,3.01,0.055198308,0.035858154296875,1176.6394307669186,1753.0158017756912,-344.25748,220.41228,8.980772,-38.675198,-34.39981,-4.267774,-20.126478,16.181103,-4.0864663,-2.983973,-2.5473442,-1.1704261,13.438499
17,4.13,5.53,0.06158613,0.034446364182692306,1077.6997368739712,1636.543896426597,-325.07962,235.16174,21.404737,-33.487564,-25.852322,5.914627,-16.99254,3.971107,-0.8503114,2.8566754,-10.23857,-5.8262997,17.408113
31,8.26,9.17,0.090788685,0.03308526400862069,1127.7645602156438,1655.5621663109357,-322.9575,208.91963,4.8853474,-44.875546,-43.106537,-19.842516,-25.415932,-5.156296,-2.2138948,-3.2031064,-6.897668,1.9963453,19.757069
51,12.530000000000001,13.51,0.084932245,0.03406021442819149,1122.553361029554,1586.0978183603684,-327.06476,216.57611,1.3517662,-47.777733,-39.389816,-18.361656,-32.74058,-3.3605797,2.048568,-1.277299,-10.928703,-1.7065986,21.7716
53,13.51,14.49,0.07532944,0.035208194813829786,1160.7885779893275,1636.9868580768807,-324.52667,217.17496,2.4303236,-41.325527,-43.65941,-22.420628,-25.859663,3.8308094,-8.570106,-7.2909427,-4.2343187,1.5688796,13.2624035
61,15.190000000000001,15.540000000000001,0.060183823,0.025202824519230768,1294.4244165201528,2189.3837267924823,-371.6732,187.96597,20.977583,-39.525734,-51.41999,-16.713112,-11.724775,13.836474,-13.389475,-5.610538,19.018839,13.830965,11.192678
62,15.47,15.89,0.06086223,0.03267144097222222,1176.28477410719,1844.034341464322,-355.22964,203.53078,12.114076,-50.210484,-53.021095,-23.2883,-13.459726,17.145271,-17.42987,-12.143628,18.44181,15.955077,9.717011
68,16.59,17.64,0.06852107,0.031416015625,1024.9862735566521,1613.4745957697073,-329.99957,229.65898,25.612968,-33.68194,-27.423016,2.7012866,-14.160622,3.0313506,-0.83210635,4.0174117,-2.2881029,-8.615872,6.3454866
69,17.57,17.919999999999998,0.06129753,0.033315805288461536,1115.2132813215871,1819.9412571413616,-365.70215,209.93362,37.318874,-45.048416,-51.439045,-20.674072,-25.83616,1.4814649,-5.182907,3.4540968,5.5613284,-3.0470128,13.079813
79,18.759999999999998,21.21,0.07710225,0.0324951171875,1076.9757987050048,1643.7905924895636,-333.16605,225.64325,23.452396,-36.41119,-33.19449,-4.8322573,-18.485044,5.006665,-4.2075744,0.5455512,-0.60538274,-6.9056044,10.796877
83,21.349999999999998,21.77,0.05602946,0.03056640625,1096.9364663880135,1856.1451403999404,-343.20526,228.2092,27.79203,-24.89506,-22.734703,16.390919,-7.638561,10.746207,4.0861263,8.994916,-8.872432,-13.729473,9.381629
87,22.049999999999997,22.610000000000003,0.06470115,0.03136992872807018,986.6003412225147,1674.7153380224938,-362.26126,223.69713,55.217762,-26.843874,-43.725685,-21.28631,-16.165388,17.815218,-5.334039,-1.5294504,12.865567,3.0306141,6.0659337
88,22.54,23.52,0.07890324,0.0340809923537234,1093.7945662253514,1569.77637614699,-332.73212,223.20265,8.283243,-49.05536,-45.450428,-14.996511,-29.164896,-4.0402102,-3.8376188,4.003513,-3.2311654,-4.9854636,17.285486
113,25.69,26.39,0.065987036,0.037880717844202896,1232.170158609438,1734.055000131643,-341.75198,212.91103,-0.29936346,-50.663918,-44.303623,-14.429101,-21.483438,11.400912,-5.997242,-4.0808625,0.7927179,2.511277,20.966795
118,26.599999999999998,27.16,0.057903692,0.03413685581140351,1114.812829462702,1783.8872368224513,-367.09372,209.13264,22.056345,-42.933395,-54.812508,-23.65719,-26.150007,15.202773,-5.4256067,-4.230316,5.480775,7.7525816,16.956318
119,27.09,28.21,0.083811454,0.034225751768867926,1032.5059520675006,1508.0243336858418,-324.0243,238.1766,25.369738,-38.843445,-32.454212,3.7184093,-15.783448,6.617402,2.539573,4.798346,-1.9135092,-4.424781,15.279125
