segment_id,start_time,end_time,rms_energy,zero_crossing_rate,spectral_centroid,spectral_bandwidth,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13
2,0.0,0.42000000000000004,0.062492374,0.07886284722222223,2439.1533084061616,2627.8389599155357,-414.53207,94.9035,-47.678745,4.022085,37.82912,54.5428,-5.8226047,-13.119758,10.766523,26.458523,1.5111682,-1.2660159,5.7478476
3,0.35,0.8400000000000001,0.09057885,0.08765127144607843,2472.1992873338327,2298.9840149746333,-349.9363,122.02146,-46.08703,-23.819431,36.683598,61.637146,4.9452896,-25.187971,-13.75901,28.791998,21.447292,-2.3887749,-11.772
6,0.9099999999999999,2.0999999999999996,0.11163761,0.09099033900669642,2458.6040331529507,2137.4634834198814,-335.11572,124.250786,-54.691547,-26.3214,31.414455,54.896362,3.21393,-14.2293415,-2.7071826,15.767003,5.2404056,7.014428,8.2334385
19,2.87,3.29,0.10959857,0.07387152777777778,2558.0725061461826,2639.2245502051383,-350.85883,124.47751,-29.13789,-27.185202,7.567656,42.882446,18.744642,-4.3786874,-19.57352,0.82817876,12.64482,14.9160185,2.0743177
20,3.22,3.6399999999999997,0.122501805,0.07893880208333333,2301.250396152344,2192.0257947244495,-326.3238,127.514626,-48.84459,-44.682095,23.328117,55.6936,19.889172,-18.68977,-23.488916,6.46189,17.498117,10.103491,-3.6503134
21,3.5700000000000003,4.41,0.11787413,0.08778211805555555,2375.890260122922,2013.3051681408933,-328.2044,126.19918,-58.54664,-34.217274,33.565506,62.10815,7.7629976,-27.33721,-13.615011,19.277153,12.604519,0.13684987,-4.9834166
25,4.55,5.669999999999999,0.1204772,0.09041494693396226,2431.6021753763853,2038.5034626465788,-327.32233,125.78703,-62.515003,-30.002472,30.54087,54.24004,5.0667424,-12.219548,-4.542209,11.112238,4.6121197,10.179088,6.607407
39,6.51,6.93,0.09207189,0.09452039930555556,2785.762796909036,2384.2901921397465,-332.1816,121.132225,-59.316788,-2.8879282,37.35289,52.144184,-14.308055,-17.959635,4.8041563,27.137875,1.3865594,-1.5069017,5.7983994
40,6.86,7.140000000000001,0.07471972,0.09468217329545454,2586.381163354233,2482.916953455279,-332.0524,129.03065,-53.126743,-20.05314,30.293362,59.29726,-1.2977175,-15.280858,-4.9670143,27.578962,4.6858077,0.7338248,6.3224487
41,7.07,7.56,0.1083663,0.0930798100490196,2478.9545043167795,2057.452692511135,-329.9769,122.354034,-60.634266,-26.71049,38.67577,58.36498,-6.5448604,-24.60159,-2.2215052,25.384766,6.459616,-1.8533016,3.258559
42,7.49,8.399999999999999,0.09033535,0.08484868893678162,2333.8251660826772,2078.883918296712,-338.32037,131.22598,-57.398285,-32.00513,22.783684,63.937263,6.4449863,-20.750639,-21.152552,20.506092,13.459448,1.7664493,-6.705542
45,8.47,9.66,0.13368112,0.082122802734375,2236.141018943213,1954.9798687315035,-331.22458,130.00923,-50.071064,-43.444458,16.822939,55.070858,17.795635,-16.151764,-16.508396,11.955564,9.787368,-2.1191666,-5.4503326
58,10.43,11.27,0.12125407,0.0910132137345679,2615.519393448327,2170.6710716611938,-330.52798,124.35707,-57.448357,-22.88472,33.5154,47.50584,-8.244261,-22.569965,-1.2362467,22.16869,3.0697165,-4.040097,-0.9781358
59,11.2,11.48,0.058379054,0.07737038352272728,2649.137585777134,2884.248106536893,-345.98605,118.06181,-42.966125,-20.531345,18.279488,55.496536,5.9719853,-12.31661,-18.432854,13.5669985,9.163523,4.622248,-4.76041
60,11.41,11.69,0.089613676,0.08106948390151515,2507.991539970717,2484.852915571966,-348.69064,118.73183,-45.672157,-27.32983,25.032684,52.455048,3.941304,-17.517843,-13.299074,19.156183,14.729664,6.367662,-5.2600093
72,12.389999999999999,13.23,0.118337266,0.08987991898148148,2687.3481145508226,2397.747320890234,-333.37943,114.81219,-54.59375,-15.788053,33.030136,53.584755,-0.5110727,-16.90815,0.31993368,26.52156,5.7234755,-5.88264,-4.4680824
84,13.930000000000001,14.77,0.08777237,0.08356843171296297,2492.392890148208,2374.096894472839,-333.7577,123.3355,-49.045166,-31.474226,21.703394,56.88917,9.4174,-13.397149,-11.992133,18.65047,8.985048,-2.839983,-7.0607133
