segment_id,start_time,end_time,rms_energy,zero_crossing_rate,spectral_centroid,spectral_bandwidth,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13
10,0.7,1.61,0.0677855,0.20683797200520834,2859.718628400265,2519.513389662908,-241.56096,111.51205,-35.4916,-41.09097,-14.849388,-33.766243,2.7559414,40.31252,-5.970978,28.997297,-26.06597,1.6130567,-8.726254
14,1.75,2.17,0.092826545,0.33080078125,4004.8207235752952,3042.402739011849,-239.46783,101.288536,-21.747723,-44.29203,-4.8104186,-26.824863,-4.735917,41.862106,-14.228481,33.117775,-26.808018,9.089001,-13.737882
16,2.17,2.87,0.06177254,0.10441509046052631,2148.4714380635637,2458.6486615967865,-228.52614,116.932884,-30.553534,-42.70181,-18.974125,-34.39013,4.6432385,39.94145,-4.9593635,20.538895,-21.547857,0.3012695,-10.869722
23,3.43,4.13,0.06723828,0.16295744243421054,2690.8366594025706,2871.4004661727436,-226.72646,111.587456,-27.24974,-52.013954,-20.345165,-32.39071,3.3867488,36.81924,-10.864681,23.130194,-26.994328,1.7079368,-16.658812
30,4.6899999999999995,5.46,0.09133945,0.21018721417682926,2971.883148565752,2736.3949516886814,-218.26424,109.82297,-31.286922,-51.943188,-15.282839,-29.968298,-4.8436522,41.980923,-10.459865,23.125597,-29.36034,3.5277305,-10.414983
35,5.88,6.720000000000001,0.077230535,0.20558810763888888,2829.3776147290087,2721.3201320947783,-212.8769,114.387314,-29.178549,-51.39706,-15.558786,-30.02893,-3.029819,36.214684,-10.581876,23.904593,-31.399685,0.6206971,-8.71802
39,6.86,7.140000000000001,0.058132894,0.09605577256944445,2324.4890975387625,2696.080063929712,-226.04128,110.97863,-27.545958,-46.93881,-13.3476715,-25.79435,3.6254447,29.130394,-9.834668,15.790641,-25.226633,-2.6171675,-10.136061
42,7.21,7.9799999999999995,0.08585627,0.19524104420731708,2805.397017716707,2749.8703454822776,-212.88062,114.55552,-29.827202,-52.284702,-21.060541,-32.04513,2.8650703,37.060493,-13.848011,20.99554,-29.471085,-0.691673,-12.815713
49,8.540000000000001,9.31,0.083142996,0.1865234375,2726.9472585275485,2771.507973235362,-207.09856,119.56961,-29.270926,-52.824295,-19.748766,-28.169586,-0.04886512,36.92235,-16.240938,21.190792,-28.192526,0.13559195,-13.286639
55,9.870000000000001,10.709999999999999,0.09549386,0.17977430555555557,2643.4360774847255,2728.456816304049,-197.48016,115.32718,-33.524338,-51.677326,-18.18862,-32.005756,2.3074086,41.295242,-12.620901,21.70074,-28.039415,2.4795673,-10.624501
62,11.27,11.899999999999999,0.066521734,0.10139508928571428,2269.2696000573974,2523.083648433305,-238.29907,114.463905,-27.045658,-55.652927,-25.283932,-27.271458,6.9671097,38.973133,-3.996382,21.827362,-24.85931,-1.6787233,-10.166605
