segment_id,start_time,end_time,rms_energy,zero_crossing_rate,spectral_centroid,spectral_bandwidth,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13
2,0.0,0.42000000000000004,0.08542942,0.1465441645408163,3734.7672644850154,1805.1083045341989,-429.18817,70.82503,-38.63815,81.56535,38.383976,-29.722967,2.7778327,17.709791,8.118804,-24.126402,-2.0164425,28.67665,-13.669478
3,0.35,0.49,0.0666991,0.15943444293478262,3995.1099867723933,1510.3634732868734,-428.53262,69.56838,-52.47022,76.23489,43.9447,-36.37997,0.83536935,29.420683,10.010855,-21.309137,3.0612845,28.58707,-14.04874
4,0.42000000000000004,0.77,0.08292945,0.1588958030523256,4026.99891480642,1447.6609289203695,-413.96848,68.50851,-75.80634,87.40102,41.635216,-40.23054,6.3360944,23.601704,16.216389,-16.791693,0.7941884,34.147934,-16.384953
10,1.0499999999999998,1.47,0.07735134,0.14638472576530612,3791.9959332108497,1572.8655405709783,-451.59103,58.095932,-51.631336,65.49768,36.07976,-29.461735,10.8324995,34.76303,17.073977,-17.06425,0.7856783,27.321722,-9.14312
15,1.6800000000000002,2.0999999999999996,0.08576358,0.15375876913265307,3927.3937835434244,1599.920582551995,-453.41037,52.619682,-50.593903,78.41485,37.765587,-33.309242,2.3439045,25.26972,19.78779,-13.795566,6.1417575,36.07547,-11.776798
17,2.0999999999999996,2.59,0.08290488,0.1556396484375,3948.292681788001,1561.847246258421,-437.6457,54.073906,-53.871502,78.986755,45.495914,-33.377678,2.5078006,32.021923,17.8499,-18.196745,6.585192,37.310894,-9.862054
25,3.01,3.43,0.09409727,0.13603117028061223,3747.9490877180597,1806.4421463756132,-439.73996,59.439404,-41.527985,71.39051,35.175262,-25.10372,-2.0632977,19.0661,23.822088,-16.679604,2.880576,40.523514,-12.326773
27,3.43,3.92,0.08203401,0.15269252232142858,3796.7476270941374,1495.524345321114,-429.29898,66.213844,-56.277885,76.98052,43.57931,-34.94754,-0.7693301,27.826818,20.33141,-16.740759,5.989244,41.512432,-7.988993
36,4.41,4.55,0.083379686,0.08631963315217392,3140.748891377805,2313.208351684433,-454.1297,58.518253,-6.197656,42.32429,27.260975,-3.9105575,18.052427,24.417757,0.34625843,-4.7317286,20.039373,13.849887,-14.541961
37,4.4799999999999995,4.83,0.10850811,0.13632131177325582,3717.6480490400863,1669.1409397822072,-425.24268,45.27261,-47.687767,75.11189,44.88634,-17.509974,7.7131257,24.917631,20.766827,-16.432379,2.8075135,37.181534,-13.258874
39,4.83,5.32,0.081515945,0.13141741071428573,3501.076545137156,1514.1150573976486,-437.98404,54.071728,-52.78663,80.753365,58.888844,-21.429312,7.8289447,37.920204,21.904514,-18.54286,3.4982934,38.17508,-5.5406904
