segment_id,start_time,end_time,rms_energy,zero_crossing_rate,spectral_centroid,spectral_bandwidth,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13
13,1.4,1.6800000000000002,0.057986345,0.09224076704545454,3440.966275122798,3495.6170695887404,-365.56592,99.99502,-29.101843,-13.288375,-24.922419,-14.700711,0.07728905,6.900028,-10.026019,-12.793702,-11.724526,-12.5089855,-7.80693
15,1.6800000000000002,1.96,0.0643778,0.08836410984848485,3132.84143873247,3225.9346327881713,-332.74265,112.30459,-18.024557,-8.810207,-20.267973,-8.40789,6.317627,9.166651,-7.059488,-5.058445,-4.7378354,-9.18992,-10.708991
18,2.0300000000000002,2.31,0.069927625,0.040897253787878785,2078.3337085475214,2849.7321009921025,-361.4113,129.63258,-10.763613,-13.320748,-24.103992,-2.155982,13.274526,15.805648,-5.554657,-12.086003,-8.963332,-2.6856372,-6.5203753
19,2.2399999999999998,2.52,0.07350688,0.045587713068181816,2235.3201967314153,2936.6267619340715,-313.38138,131.43964,-18.622633,-19.27595,-34.62372,-14.075527,6.027949,20.265322,-2.7286294,-10.462068,-12.39707,-3.9571528,-8.249979
23,2.8,2.94,0.06344197,0.05357142857142857,2739.358931435143,3496.9400902980988,-401.13364,115.03416,-14.513083,-8.106142,-32.255108,-12.765494,8.040127,16.140772,2.8531501,-5.5754023,-5.3215175,-5.918275,-5.9865246
25,3.01,3.15,0.06525185,0.06352306547619048,2907.7634686369106,3481.994225409488,-366.0871,123.701836,-23.833088,-20.729225,-40.071686,-21.580626,3.7487252,16.856405,6.885219,-10.182251,-9.268852,-8.554071,-8.710847
27,3.29,3.6399999999999997,0.0748582,0.055063100961538464,2210.401942926532,2738.286334736116,-353.2234,94.725845,-9.713812,-21.887981,-29.518145,-0.5892597,12.999581,-0.42642578,-15.600572,-11.218099,-4.683625,-8.814556,-10.118295
31,3.92,4.0600000000000005,0.07598004,0.09684244791666667,4451.829541735294,4058.486011424643,-316.25012,77.044205,-49.469025,-7.292131,-24.685373,13.990467,12.234047,13.528842,-18.83059,-0.8913853,0.20895259,6.480186,-10.928738
32,3.9899999999999998,4.2700000000000005,0.05923754,0.052364464962121215,3185.749559743486,3746.3769525410603,-345.06134,111.35701,-18.60765,-3.0100574,-19.253002,2.1149116,10.817136,11.544237,-8.558866,-2.34649,-2.3396478,-0.046556298,-6.254151
36,4.41,4.6899999999999995,0.08260373,0.05196496212121212,2804.5592416710933,3439.8217490391835,-331.01147,119.08957,-26.339302,-11.114831,-25.146149,-7.1048183,7.8016634,13.181751,-1.4528048,-1.8135622,-3.4899342,-5.5225015,-5.0947914
37,4.62,4.8999999999999995,0.07999936,0.04206616950757576,2197.335969016618,2824.810591319499,-310.27072,139.6498,-28.388176,-15.649928,-27.063232,-13.421858,3.5707934,16.606438,2.4383342,-3.230759,-1.7351551,-6.0984163,-5.6564264
38,4.83,5.11,0.05594275,0.04499585700757576,2228.877736476762,2711.820814586194,-327.6933,133.81488,-28.504578,-18.939342,-21.298594,-7.5995975,6.404159,9.876481,-4.4202685,-4.1107497,1.9888798,-5.206233,-8.299908
43,5.46,5.6,0.084359184,0.04201543898809524,2506.7081920478327,3164.452225611524,-357.6597,105.54648,-14.6966505,-14.294525,-16.480707,-6.5928793,-2.115195,2.9510844,-1.3062274,-7.2940054,-11.225046,-10.810229,-8.531179
44,5.53,5.8100000000000005,0.06866854,0.054036458333333336,2304.0549064492743,2741.8926293621507,-357.46936,112.67425,-20.325293,-23.433722,-17.122715,-0.8027138,7.7138457,3.74661,-7.6077547,-8.049246,-5.845222,-9.449809,-13.819773
45,5.74,5.88,0.057659853,0.0654296875,2239.9278521330257,2557.7084556292693,-354.0987,117.0848,-29.074059,-31.42197,-14.823672,4.376335,15.088844,5.6448393,-12.94079,-10.558596,-0.9093358,-5.81361,-14.939029
46,5.8100000000000005,6.090000000000001,0.06307447,0.05928918087121212,2522.5495365942465,3047.982498108126,-343.22192,120.695114,-17.802149,-15.178919,-18.658176,1.7315285,11.787206,7.689663,-6.605477,-7.538519,-0.35919622,-6.2542615,-10.664777
51,6.44,6.58,0.059444766,0.052013578869047616,2478.0350991979067,3059.207898145225,-363.37186,100.102135,-5.19998,-18.947813,-25.560062,-11.616854,3.1656349,2.5618627,-7.154576,-8.636095,-8.125812,-8.285469,-8.3953
52,6.51,6.79,0.06636366,0.043767755681818184,2302.8434197863353,3107.368379407398,-356.74243,104.50671,0.8529825,-12.753112,-21.28086,-6.049919,4.966234,1.309558,-5.4036036,-4.6732516,-5.631219,-9.097798,-9.339884
63,7.63,7.91,0.058899485,0.04437440814393939,2455.9111715052,3306.3930829344363,-360.37457,118.39902,-4.224822,-6.7959433,-20.881645,-2.6766338,7.6673856,8.365122,-3.2605848,-6.2998285,-8.964607,-6.7770147,-3.584294
