segment_id,start_time,end_time,rms_energy,zero_crossing_rate,spectral_centroid,spectral_bandwidth,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13
12,1.1199999999999999,1.4,0.055382315,0.061943901909722224,3061.245539324495,4336.382174581203,-379.82385,135.95793,14.100694,-9.5177145,-20.884703,-15.252369,-23.421232,-15.807386,-0.4295497,4.6818795,0.12979293,1.2583305,-3.810858
13,1.33,1.61,0.056762073,0.05752224392361111,2833.9158842055735,4052.9564511946382,-353.55988,144.7771,3.7004094,-5.624093,-21.381203,-10.668247,-28.528378,-20.918118,-4.2135096,6.996855,-7.1430902,2.9200857,-3.6404262
18,2.31,2.59,0.05657317,0.04527452256944445,2550.510486384733,3889.2123766722943,-334.29938,156.71333,4.3356724,-6.998757,-21.79513,-15.0833845,-26.5523,-5.4659796,7.456291,10.942356,-6.266823,11.28992,-7.384135
19,2.52,2.8,0.055085815,0.056070963541666664,2945.6018689625,4122.773547473338,-345.72202,148.5853,-3.3179884,-16.514181,-19.781935,-15.905169,-22.596851,-8.85916,6.5930533,12.147824,-4.127267,7.6564527,-6.1930404
24,3.5700000000000003,4.62,0.1022193,0.06822374131944445,2940.3424827650733,3375.960250439964,-265.39594,128.35507,-63.975018,-25.663614,-34.087803,-17.811863,-21.695122,-5.332074,-3.861229,6.1662383,-12.332432,4.611124,-2.7402985
54,8.47,8.75,0.060187537,0.041314019097222224,2765.1242533640457,4068.990774456815,-355.90305,156.85588,3.2239435,-8.432744,-15.181113,-16.810804,-30.485714,-1.3695856,8.304136,12.611478,-5.7106524,15.504868,-3.022342
55,8.68,9.379999999999999,0.11528043,0.05376876027960526,2454.1851851073443,3031.7277079332216,-272.1352,146.42934,-58.851635,-24.87588,-25.799067,-24.140678,-20.33682,-7.6676493,-3.9126682,4.2200155,-7.928293,11.867183,-0.019074863
57,9.379999999999999,9.799999999999999,0.081699826,0.05881297831632653,3013.8379389970814,3841.967773062129,-228.26099,129.14586,-43.801693,-20.2863,-39.493767,-14.745063,-40.456184,-7.9117723,1.8046418,7.8956795,-17.491499,10.544533,-20.89883
58,9.73,10.01,0.07792015,0.04977756076388889,2927.866801968059,3937.9346904331333,-314.06235,128.02141,-12.4393,-7.4402094,-29.269985,-22.483017,-30.99224,-12.441983,5.8848195,9.540997,-3.2164474,9.380291,-10.542576
59,9.94,10.22,0.06764383,0.0533447265625,3064.9886669616517,4224.334782239224,-357.59946,127.20474,-0.3795508,-12.738572,-24.60198,-20.416023,-24.734713,-12.534339,3.7698412,13.005622,-0.3276112,3.7999682,-4.6424866
60,10.149999999999999,10.57,0.072572224,0.06352638711734694,3020.824466629966,3904.8207872959442,-332.75275,141.16968,-20.22194,-23.249762,-27.468563,-15.218583,-29.405119,-10.588376,-0.08334331,15.251041,-2.868491,2.9412544,-6.9427958
61,10.5,11.06,0.13525873,0.05817634828629032,2468.913505077752,2835.7325807861334,-262.17505,141.54594,-81.06708,-34.959286,-32.667904,-23.650988,-19.874058,-6.615623,-13.28652,5.428336,-7.435895,6.8730154,0.55504006
70,11.97,12.25,0.063214205,0.061442057291666664,2753.8293426140003,3857.7868955866707,-333.09814,152.2227,-13.949137,-20.931196,-20.936632,-14.608213,-29.762764,-16.895296,3.9571855,15.275316,-5.631396,0.30887324,-21.486816
71,12.180000000000001,12.88,0.115917645,0.057784231085526314,2478.991331211053,2985.8184924902616,-245.3502,143.50476,-68.7626,-31.712265,-33.07763,-17.172113,-27.62432,-9.218841,-4.906964,7.7291284,-14.219739,3.5971913,-8.666426
72,12.81,13.440000000000001,0.06562151,0.06588258605072464,3006.0337679903855,3798.392956768533,-270.21176,136.68909,-40.079025,-25.156393,-35.00409,-8.694791,-28.865475,-7.1891236,1.6593192,11.823251,-14.924858,1.291494,-14.517096
75,13.790000000000001,14.49,0.10007153,0.054841694078947366,2331.8277325098256,2948.8342419697874,-263.18643,150.93982,-59.380783,-28.803839,-32.72232,-15.879223,-25.64904,-13.412883,-13.024585,5.780303,-11.451999,1.6346693,-7.974776
81,14.91,15.190000000000001,0.056434087,0.052001953125,2423.1994035352186,3448.9350077014287,-325.38538,167.31413,-13.90833,-20.851019,-29.225307,-15.473887,-32.66329,-7.222752,0.91459167,17.039545,-4.9645777,-0.7020336,-19.913826
82,15.12,16.66,0.098714024,0.06043590198863636,2806.2427728289563,3415.8809497386274,-252.28806,135.14473,-47.27204,-20.511192,-38.695744,-14.926098,-28.757376,-8.25031,-3.0622141,6.607409,-17.483524,1.9215243,-12.403991
85,17.009999999999998,18.13,0.12144287,0.05453464673913044,2611.7958831310293,3190.497941628092,-241.20241,138.76459,-55.591717,-24.178434,-35.62352,-16.888618,-25.356781,-9.423893,-7.947056,2.232357,-16.345808,2.5952454,-4.3408113
86,18.06,19.04,0.075105965,0.05261948529411765,2534.7166925390156,3453.165193468055,-269.16205,147.94637,-27.601658,-23.721607,-36.96791,-14.269593,-29.868315,-13.976723,-0.47593665,11.482371,-9.73247,0.2616476,-10.914284
87,18.97,20.09,0.1085488,0.06188858695652174,2678.936698942509,3213.565375607001,-270.66504,142.81958,-55.63437,-22.330843,-32.035378,-19.145248,-28.85665,-8.022767,-2.4487615,4.516614,-13.791632,5.2308874,-3.2453585
95,20.509999999999998,21.0,0.06900602,0.048740931919642856,2566.1718886281237,3609.405004515039,-298.28647,149.9435,-14.684225,-14.543684,-37.449463,-15.192217,-29.840067,-7.2272797,4.438239,-0.4503231,-8.548102,-1.5912234,-10.573885
96,20.93,21.63,0.14316994,0.04872532894736842,2085.0747537182233,2523.8927163996254,-269.04028,146.75046,-69.296906,-36.095646,-32.637135,-28.643114,-18.246193,-12.23571,-7.871346,2.1630564,-5.820601,8.725428,2.6499739
98,21.63,23.099999999999998,0.11100937,0.051820497255067564,2301.7157577571393,2853.6548059296415,-219.95563,162.48315,-62.833824,-24.913244,-38.76671,-16.582386,-30.274137,-12.950073,-1.2092401,5.485158,-18.472755,3.9673054,-14.767492
100,23.099999999999998,24.429999999999996,0.08709952,0.05776186342592592,2672.6743531796496,3258.0409153441146,-243.15115,144.78929,-51.42168,-19.911688,-38.170612,-16.421993,-26.854359,-4.742819,0.057021756,5.2600965,-13.19979,0.19035901,-17.37343
104,24.779999999999998,25.060000000000002,0.086167246,0.031914605034722224,1814.0801436005488,2954.1387111038234,-292.92932,172.63834,-2.2573993,-27.527475,-26.278316,-17.207573,-27.325495,-11.403346,4.5802293,-1.8864776,-4.621027,5.3204446,-8.570543
105,24.990000000000002,27.65,0.12902723,0.051906747707528955,2219.3981351165503,2725.672624632574,-232.98665,149.58975,-56.76876,-28.037405,-35.36944,-19.445414,-25.375414,-11.927356,-1.8399861,2.726965,-16.361992,2.3750308,-6.713332
112,28.28,28.91,0.068047374,0.039310178894927536,1916.224445472492,3100.444554551525,-317.80173,179.93636,-0.017747244,-21.452429,-26.94003,-14.618153,-32.73266,-17.762989,4.0185833,5.7767863,-11.243427,6.271225,-9.558808
113,28.84,29.119999999999997,0.06199719,0.048502604166666664,2514.2342087566285,3673.6921961017183,-326.06842,161.77669,-6.783006,-15.13303,-23.39976,-13.490185,-25.922264,-16.633545,2.5296857,14.077251,-5.6563163,4.947622,-12.530783
115,29.26,32.97,0.121471286,0.07397188154678772,3555.2971302692363,4115.628715998495,-164.48769,128.2808,-37.046665,0.7461041,-25.975712,7.4600263,-17.485794,0.080408365,0.61864775,17.123814,-8.508791,17.784452,-8.886749
116,32.9,33.599999999999994,0.117052354,0.062300832648026314,2970.907033585096,3471.976417070239,-212.69221,151.87527,-56.486206,-15.984494,-33.68855,-12.239216,-16.335173,-0.55503666,-4.9876275,16.110203,-8.030343,14.459264,-6.5293694
118,33.74,36.61,0.12738301,0.06352731574820789,2892.5612095621077,3434.1760018352466,-175.63673,139.36354,-59.442924,-24.237242,-43.634052,-9.129614,-36.52974,-14.369599,-5.5832253,4.4170055,-21.584919,11.107289,-15.810094
123,37.31,37.589999999999996,0.055875804,0.07929144965277778,3580.5215588763035,4255.143421736394,-277.19073,144.56628,-9.186512,-6.9604163,-26.86818,-4.7015896,-27.58262,-7.18997,-1.1199801,13.391063,-12.76433,13.103497,-16.750628
124,37.519999999999996,38.849999999999994,0.10777194,0.06092303240740741,2662.1276980354282,3074.360442796137,-214.10362,152.60059,-59.88808,-23.632597,-36.34058,-12.9262905,-33.471977,-18.580029,-2.8400028,6.3051205,-17.267616,11.40407,-9.082283
125,38.78,39.410000000000004,0.079461806,0.06572690217391304,3116.1107787347137,3818.613943158053,-232.26062,134.69058,-41.78633,-16.60384,-35.072395,-0.51985675,-24.685888,-5.0594606,-7.7777805,4.212875,-19.239367,6.82269,-17.314878
126,39.339999999999996,42.0,0.099850364,0.0559902117519305,2362.9158690885665,2900.86950003375,-227.27927,157.5291,-55.615044,-17.33008,-32.77754,-18.28667,-30.63201,-10.499209,-3.772131,4.991074,-12.899431,8.004019,-11.621337
131,42.42,42.980000000000004,0.06377241,0.03867660030241935,2002.6100984120128,3027.4848362726507,-285.52182,175.56088,-19.66518,-20.374788,-26.393314,-14.119211,-31.520823,-19.34442,3.2763155,9.191768,-10.409655,9.480307,-17.182049
132,42.910000000000004,43.89,0.108109646,0.055659275428921566,2458.2294435328163,2938.6905606894848,-210.48708,147.7205,-68.7815,-24.386496,-29.824585,-16.594837,-32.6151,-14.974821,-11.278186,2.5555458,-17.16106,14.393157,-7.329702
136,44.03,45.57,0.093799405,0.0722466010551948,3198.3783086420076,3560.918605430912,-201.14104,125.184204,-61.417816,-13.428299,-41.442345,-10.23888,-30.03373,-7.733492,-1.8827077,2.6860833,-21.299715,5.2918644,-17.72434
147,46.199999999999996,46.970000000000006,0.103177615,0.051781631097560975,2532.0108594543635,3043.374625840257,-255.9876,133.24861,-63.655987,-21.015274,-32.817177,-24.123444,-22.269466,-10.407473,-13.213475,1.4523195,-8.807102,6.6252804,-8.800674
160,48.02,48.720000000000006,0.0820617,0.06586014597039473,2627.0031074055064,3041.241773151884,-280.94864,142.10356,-65.51504,-16.722078,-27.780035,-21.508848,-20.586967,-7.771935,-8.512611,3.8717434,-6.3594103,2.6667235,-1.9265583
168,49.14,49.63,0.05923674,0.03989955357142857,2242.238921073377,3338.4821817604147,-289.1795,166.45604,-21.03858,-7.01426,-26.150677,-11.934808,-30.542685,-11.025717,4.525591,4.848826,-16.390917,5.069568,-17.002146
169,49.559999999999995,50.26,0.10013823,0.061324270148026314,2774.789743028238,3262.8196455448174,-216.62544,137.07054,-65.15835,-14.777102,-38.58486,-19.312702,-27.798437,-4.720612,-6.874994,-0.06452674,-19.556894,0.15353511,-18.83373
171,50.4,51.03,0.09590195,0.04570737092391304,2752.5145303770028,3684.806112942368,-268.09937,125.7237,-27.381752,-16.800062,-37.468693,-5.4054737,-28.39635,-2.544377,3.7520065,2.2027807,-22.48085,-3.1075952,-18.968021
173,51.099999999999994,51.8,0.084047854,0.05336400082236842,2594.724241745248,3295.4364485383753,-268.01315,138.85066,-54.22307,-16.477823,-26.252192,-21.82364,-26.50098,-6.9370737,-13.89983,9.440219,-10.975907,3.683927,-10.085793
183,52.57,53.199999999999996,0.098169066,0.05322265625,2518.152402945338,3053.2913032578217,-260.94876,136.83878,-60.0214,-19.077492,-26.514109,-26.18203,-22.013514,-10.801325,-11.548563,3.6809506,-8.765907,6.9274125,-6.664374
185,53.199999999999996,53.760000000000005,0.06466354,0.07357295866935484,3385.4410585916166,4057.604252078467,-246.10547,129.65825,-46.844223,-16.256666,-46.175365,-9.873345,-31.730307,6.734792,-2.244955,-1.8851665,-23.977919,19.208874,-26.671772
189,54.32,55.02,0.08263332,0.05987227590460526,2599.6895438907914,3142.455905044245,-277.11124,140.904,-63.559532,-17.43339,-29.540594,-20.815538,-28.192957,-10.001627,-10.216502,7.34995,-9.418232,7.7325144,-4.2549934
193,55.160000000000004,56.42,0.091598004,0.058353424072265625,2514.0805294870443,3098.5133677332924,-249.14287,145.24026,-56.73236,-20.067673,-34.238373,-19.924932,-27.412243,-8.279501,0.74092597,3.8406992,-15.469282,3.8102036,-12.81195
210,57.68,58.38,0.09119001,0.052644428453947366,2389.83940229806,2963.7195134446097,-289.8015,139.88678,-52.713142,-16.263119,-36.123272,-23.295797,-15.138848,-10.297572,-0.99780285,0.5908746,-8.150443,-0.16641204,-1.6861347
213,58.449999999999996,59.78,0.10256342,0.07026186342592593,3342.565177105645,3823.6860359391785,-216.01695,121.682205,-47.887066,-11.027283,-40.841385,-11.323575,-23.60425,2.7736883,-0.13294466,2.4326153,-17.87203,9.299302,-10.677701
226,60.760000000000005,61.46,0.0792033,0.05694258840460526,2560.1798483714997,3176.723627088203,-269.57202,146.93752,-58.306473,-18.167782,-26.13251,-20.615915,-25.515104,-6.5027394,-9.81079,7.69649,-12.145535,8.566192,-8.398618
239,62.370000000000005,63.21,0.081544496,0.06033839536516854,2642.079381173477,3255.9089401256806,-287.41467,146.1436,-54.28772,-13.80277,-26.613626,-18.219255,-25.851072,-9.940939,-7.234984,9.122274,-7.548919,6.339256,-6.9255195
250,64.75,65.66000000000001,0.1052466,0.05696443256578947,2804.4807186628145,3434.527125650802,-265.11505,121.35688,-49.900524,-18.060223,-37.234352,-17.030529,-25.45578,-7.273482,2.6574888,8.817888,-14.388988,3.5144088,-8.545433
261,66.99,67.69,0.09847631,0.0638427734375,2910.6130739674018,3465.1603240527497,-270.88376,119.20758,-50.310028,-11.176297,-30.665827,-24.724253,-21.119469,-9.495197,-9.217101,5.876345,-10.166156,1.602678,-8.088976
277,69.23,70.28,0.10013725,0.05862087673611111,3118.4603232675836,3590.145407762003,-254.39333,117.072525,-50.40071,-17.376585,-38.721657,-14.623353,-24.268044,-6.1231265,1.5930803,6.341498,-21.77101,-3.0392523,-9.229516
279,70.28,70.98,0.07080239,0.06683028371710527,3068.7497487564656,3691.490713151679,-225.28906,134.88965,-45.59706,-16.055231,-40.46272,-18.777702,-32.765884,-2.8186142,2.3386762,-0.1808377,-17.623844,10.401924,-23.406801
280,70.91,71.61,0.092158854,0.058195415296052634,2448.5775823902136,2881.8573326743026,-267.566,141.96872,-65.961266,-23.112833,-27.292606,-21.845118,-21.66835,-13.053759,-6.497857,1.3763481,-8.671584,5.9714603,-9.310458
298,73.22,74.13,0.088995494,0.0666529605263158,3030.4761361055307,3765.202627548834,-278.5309,125.21512,-35.95966,-15.375751,-28.342213,-14.823003,-24.109003,-6.8040843,-9.743088,3.5151813,-8.37661,8.855967,-3.9571984
307,74.76,74.89999999999999,0.060988914,0.03286345108695652,2083.759057212488,3450.6433039288563,-319.15338,169.76376,4.413533,-15.475899,-29.851582,-21.088455,-28.007305,-1.0348891,6.74665,4.692958,-14.788,2.3260114,-12.359745
308,74.83,75.74,0.12064301,0.05411698190789474,2690.6990817848528,3391.527303491015,-239.30138,128.26674,-45.921753,-23.138767,-39.98749,-15.801862,-31.378277,-4.4381948,-5.79721,-3.316456,-13.746587,1.1974055,-11.806418
312,75.88,76.58,0.083300464,0.05238101356907895,3165.941443348339,4104.586318696713,-305.43713,113.72091,-9.2705965,-11.838388,-37.65738,-8.883405,-26.861618,-0.874957,12.73143,5.6062617,-17.937689,-0.80066,-17.850014
313,76.51,76.78999999999999,0.0594502,0.04159884982638889,2269.2367946422114,3438.9279269954473,-308.7618,164.6665,-8.401122,-4.5831075,-35.377018,-17.463766,-31.542986,-7.877546,8.634562,8.673428,-6.4144335,5.1295247,-19.867472
314,76.72,77.0,0.057972535,0.03819444444444445,2326.7648983952017,3590.28399763126,-309.8739,158.63658,-8.184022,-6.8686643,-28.841248,-15.333406,-26.595879,-11.230739,7.080078,6.9137964,-12.074803,9.599709,-15.442281
315,76.92999999999999,77.21000000000001,0.069020115,0.03640407986111111,2300.664498116639,3559.263578090935,-292.2997,154.6119,-8.801964,-9.769559,-22.059822,-14.179392,-23.8049,-17.722702,7.3118176,9.43573,-10.463573,9.661526,-8.336181
316,77.14,77.84,0.09304744,0.05269582648026316,2695.0689040331026,3418.713056563848,-273.49625,130.81042,-45.43373,-15.04868,-23.740015,-18.711533,-16.876232,-12.653923,-5.114384,6.4959273,-9.508763,7.7035866,-1.8618249
339,79.73,80.42999999999999,0.08720002,0.060887386924342105,2616.4582948898706,3108.8769362716175,-266.1033,145.75371,-63.078884,-13.740019,-27.964407,-16.953547,-21.713486,-6.454507,-9.780472,7.7467613,-14.888242,6.1905227,-5.982321
340,80.36,80.85,0.06596867,0.05664934430803571,3499.294895722142,4312.375485989834,-320.2814,103.680016,-22.047728,-12.13545,-28.978764,-4.264301,-22.016344,4.429868,4.517075,1.5864763,-24.966183,-1.396026,-12.151627
342,80.85,81.48,0.058872443,0.06759510869565218,3102.3205781645206,3750.862301816276,-232.98866,137.75243,-50.348072,-9.528706,-38.56956,-7.550943,-28.785793,6.97575,-1.5113914,-2.1153162,-27.714848,15.327865,-24.246794
371,83.78999999999999,84.42,0.1048889,0.06280429121376811,2870.2838164450327,3316.609203373242,-274.61307,127.36543,-57.133373,-8.885899,-29.150158,-14.514156,-23.628748,-4.5917034,-10.687583,4.9441466,-9.438781,3.593415,4.491983
372,84.35,85.89,0.063258626,0.063720703125,3152.3650978178553,3963.3374347030276,-251.68907,132.34683,-29.162607,-12.015562,-33.839325,-11.378706,-29.963087,-1.6106157,3.8863237,1.9907472,-23.53563,10.6112175,-15.281298
416,89.53,90.44000000000001,0.070838355,0.04024979440789474,1866.1003986150636,2799.2271131488483,-317.5504,182.20522,-10.045847,-36.331543,-41.39532,-4.7622576,-18.251682,-3.4523642,7.6004605,2.7428036,-10.003559,3.1982005,-20.126766
427,91.14,91.69999999999999,0.09242581,0.052789503528225805,2797.923491736233,3771.63189266545,-225.66896,145.6527,-31.962542,-20.195246,-37.754482,-4.525345,-36.32129,-9.848254,-1.1214056,14.412137,-20.847267,4.7201777,-18.10819
428,91.63,92.33,0.09356804,0.06999126233552631,3334.800787191495,3869.4148434644158,-233.82767,114.58783,-49.85465,-9.335827,-30.238766,-2.4421358,-24.664982,-0.37703568,-9.496669,5.4270234,-15.759916,8.605408,-7.189458
459,95.06,95.76,0.092937194,0.06776187294407894,3018.064076265251,3505.535020502867,-289.03812,124.68247,-47.458214,-15.034077,-25.045765,-8.771021,-21.304419,-3.9887924,-5.1565022,0.10821845,-7.310881,5.7737565,1.451499
497,98.56,99.26,0.09496318,0.06524979440789473,3221.1122526271142,3857.005730480317,-256.4983,114.635445,-50.150795,-20.723343,-21.708643,-8.774744,-30.080408,-4.403083,-9.483792,0.17583694,-15.108126,12.068201,-6.43814
502,99.54,100.1,0.08558621,0.06670551915322581,3354.561699300316,4159.274303735256,-239.10829,126.239006,-39.94925,-20.455448,-43.221287,-6.792657,-40.22855,-3.1359937,0.36689776,11.801569,-22.616663,5.2583065,-22.061884
517,101.85,103.53,0.10507204,0.06282747005988024,3080.9634221204196,3720.5336104763637,-229.67798,123.66046,-49.428207,-18.322552,-36.06576,-5.764083,-30.745113,-8.00655,-3.1796677,4.0974174,-21.30574,6.3082504,-15.015008
