segment_id,start_time,end_time,rms_energy,zero_crossing_rate,spectral_centroid,spectral_bandwidth,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13
8,0.5599999999999999,0.8400000000000001,0.06347923,0.09852923768939394,3561.162167745808,4213.136597985176,-370.04202,126.51268,-40.359432,-27.699165,15.991873,-2.0282445,-11.320969,-1.4013251,-9.250314,-7.715904,-12.750791,-11.397474,-15.683844
9,0.77,1.0499999999999998,0.06424744,0.07794744318181818,3103.523682177942,4064.8122705775518,-350.81238,131.60312,-38.837883,-29.877832,13.444779,-1.0358413,-12.263897,-0.44693217,-10.211884,-3.6902385,-8.498012,-8.807961,-15.462232
10,0.98,1.33,0.087128244,0.0767352764423077,2897.1958780267887,3674.912341138548,-312.89554,137.22021,-51.075813,-30.735582,10.813807,-7.9552884,-13.65163,1.297563,-16.3593,-1.2096064,-4.802014,-6.187634,-16.238163
11,1.26,1.54,0.067600526,0.08355527935606061,3217.717867119066,3772.165345275801,-324.95193,119.67847,-57.822937,-24.029137,11.981969,-1.4506147,-12.362654,6.530964,-12.167078,1.0373836,0.42388496,-4.4924707,-12.508048
13,1.54,1.89,0.07574601,0.08746494391025642,3367.5317248108563,4041.8560928404995,-329.35886,120.57541,-46.177826,-20.513811,13.872238,-0.7787242,-7.4571605,6.782046,-10.731234,-1.6986792,-0.45547083,-3.4809875,-13.019799
14,1.8199999999999998,2.31,0.11033843,0.08165785845588236,3230.618203826698,3936.1985296424295,-308.13815,116.55404,-48.354412,-14.853123,12.41854,-2.1499038,-7.7575874,7.2788625,-17.309235,-6.7860703,-5.3647037,2.641687,-16.986097
15,2.2399999999999998,2.52,0.09306795,0.07395241477272728,3177.3027015875805,3875.6077617957853,-303.46173,116.6225,-50.508232,-13.622382,16.08003,-7.112558,-9.289137,10.005777,-18.12274,-9.9459095,-5.1623497,4.232609,-16.677494
16,2.4499999999999997,2.8,0.0864117,0.07971504407051282,3166.819389362804,3733.872634246318,-308.1908,117.961624,-56.490818,-16.57121,15.285032,-8.8701,-10.377869,12.153425,-17.273476,-10.207396,-4.6889544,-0.56468976,-17.928667
18,2.94,3.29,0.05632088,0.09135867387820513,3454.5212009732577,4035.765591994728,-341.65222,113.91039,-50.231506,-17.97069,11.870005,-6.000036,-10.59226,6.403125,-16.342794,-6.3179636,-1.6367172,-5.239811,-15.539568
20,3.29,3.5700000000000003,0.060881846,0.07995975378787878,3075.694720752659,3592.308439349916,-354.95966,119.3693,-56.902264,-19.365623,-3.062836,-3.8036747,-4.486628,7.785993,-26.9262,-10.184421,-6.4390335,-14.301716,-13.174437
21,3.5,3.78,0.08423592,0.07248757102272728,2949.029739428848,3372.3142271853517,-309.09225,109.83078,-67.81648,-21.405458,-8.16067,-4.4074454,-8.389456,11.705608,-36.506023,-20.180954,-8.854983,-6.874898,4.140765
22,3.7100000000000004,3.9899999999999998,0.08171748,0.09434185606060606,3434.2424850236725,3424.2034650858322,-285.44116,91.65293,-78.215164,-9.606996,-13.573405,-1.35805,-17.034231,12.261139,-31.358198,-17.882374,2.1944532,15.257073,14.355852
23,3.92,4.34,0.13110688,0.12674696180555556,4312.849434837133,3597.2683391602727,-220.19727,58.55223,-85.116325,13.852247,-16.83713,10.78773,-23.046658,14.236695,-7.8718276,19.361462,8.577641,28.262636,3.6891072
25,4.34,4.83,0.11753339,0.14073988970588236,4554.336097628573,3681.619571942366,-252.87296,45.318733,-85.97719,12.082356,-15.6215105,8.050495,-13.213969,19.303007,5.68865,31.854467,9.39887,15.181973,-5.741382
27,4.83,5.32,0.12786192,0.13871974571078433,3976.4756620774856,2990.8819475058244,-282.03394,58.20384,-116.20832,5.404346,-17.119848,-2.7006555,-14.469644,12.640039,-4.2576313,23.555986,13.446614,9.7786875,4.348058
33,5.88,6.02,0.06289069,0.07077752976190477,2798.704322997665,3354.5250405655006,-339.0053,129.5494,-51.2505,-7.9937243,13.872037,-0.870715,-9.681744,11.060366,-13.964998,1.6180128,-0.048720587,-16.036884,-14.45492
34,5.949999999999999,6.2299999999999995,0.07509348,0.07993016098484848,2890.27502598027,3366.015781041659,-331.33682,124.69035,-55.57184,-14.07028,12.034785,-3.9604788,-11.283589,7.8340955,-15.855372,0.39359912,-1.0955327,-13.745851,-12.379775
35,6.16,6.44,0.06615892,0.07898319128787878,3068.8920767179357,3566.8037839387275,-339.01212,114.21743,-54.99216,-13.528628,9.945803,-3.9352472,-12.608591,8.112584,-15.40687,-2.9674253,-1.3868022,-8.8596945,-13.456732
36,6.369999999999999,6.51,0.072644964,0.07605561755952381,2978.670744811177,3406.0972298847023,-320.4109,121.77117,-57.719337,-13.047893,8.966148,-6.3416357,-14.389341,10.74096,-15.769197,-4.030932,-0.039444786,-6.847451,-13.374636
37,6.44,6.720000000000001,0.065511115,0.09370561079545454,3530.886191655162,3792.7967330796023,-335.6427,103.80381,-54.678185,-9.392814,5.9481096,-3.7020047,-13.353737,9.23947,-17.119658,-1.3446233,3.8284276,-4.5943685,-11.627702
38,6.6499999999999995,7.0,0.060469903,0.09279847756410256,3521.31457025988,3834.5966980601615,-338.97815,101.69137,-52.737835,-10.323935,6.2996616,-7.599531,-12.780848,7.0701647,-21.0878,-2.3999991,0.2325113,-7.275425,-10.624059
39,6.93,7.279999999999999,0.07713269,0.08834134615384616,3223.1901287883265,3590.7188847112734,-325.1521,109.406815,-58.780804,-15.830474,3.7489734,-9.192044,-17.018602,2.3791559,-21.363865,-2.4679413,-1.583764,-7.1835923,-5.8974423
40,7.21,7.49,0.07341696,0.08910392992424243,3524.8546316313596,3786.6986844658845,-317.79938,99.82431,-56.304382,-13.076777,0.9139092,-4.4704094,-20.974525,-5.173818,-17.94874,3.8231103,-3.9385505,2.522266,3.9872048
41,7.420000000000001,7.7700000000000005,0.09338415,0.10862379807692307,3885.91266777652,3901.6485840737287,-285.53796,84.792046,-63.83496,-13.12863,-3.922794,4.958477,-24.504234,-6.087938,-18.032108,9.0234375,-0.711149,18.172691,11.811628
42,7.699999999999999,8.399999999999999,0.15026796,0.12398805480072464,4031.387238884003,3541.6758643208937,-256.94446,60.43561,-85.2675,-5.165625,3.3948634,9.271926,-23.180729,5.7034225,-9.778187,17.444754,1.2313166,26.480242,18.259953
