segment_id,start_time,end_time,rms_energy,zero_crossing_rate,spectral_centroid,spectral_bandwidth,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13
121,13.51,13.930000000000001,0.0602997,0.08682725694444444,2909.073574697223,2193.9785234044475,-313.32077,90.84969,-153.98561,-22.537737,-52.32448,12.593638,45.795887,-27.42269,-8.643833,21.099709,24.985607,13.581213,-12.151514
134,15.12,15.68,0.055106863,0.08996367872807018,2865.156900678429,2089.8061345078645,-329.94855,106.38112,-148.24014,-8.911693,-48.26206,28.094957,64.76623,-14.21775,2.1810188,27.650097,35.2381,16.925962,-8.902199
150,18.2,18.830000000000002,0.06132783,0.09066530257936507,2910.187488648504,2319.473870599109,-318.71768,92.364456,-130.58449,-15.906545,-43.04027,34.975357,63.751316,-14.592411,1.4673901,31.583185,31.801912,15.20614,-9.074576
153,18.9,19.46,0.067003496,0.09457236842105263,3015.729105870678,2472.2284647783586,-316.05466,83.29341,-137.87556,-22.933407,-45.950294,25.872849,62.208454,-17.274693,-0.83679277,25.343136,26.904915,14.130473,-14.876524
156,19.53,20.44,0.07122125,0.08993916127873564,2868.289403146849,2174.451588752784,-304.04056,91.33534,-155.18918,-20.588388,-48.84746,24.915527,54.078842,-19.367346,-1.5037708,24.491001,28.026028,15.056586,-9.634417
161,21.07,22.47,0.06495137,0.08867563100961538,2842.1526952934328,2021.0666105194546,-309.1732,86.716736,-168.33618,-24.225128,-54.021317,17.238262,43.09366,-24.093204,-6.8820057,13.537171,23.390776,8.07575,-14.207871
168,23.099999999999998,24.57,0.0659136,0.0912942325367647,2908.77464443909,2052.73224723745,-310.77637,89.03706,-165.73488,-20.424238,-58.691418,19.874512,42.67168,-24.167347,-5.356992,19.095089,23.139612,7.292826,-14.101807
169,24.5,25.13,0.07058621,0.0929904513888889,2877.248393697866,1955.4288895811962,-306.06186,92.28657,-171.6085,-20.950953,-54.683327,8.815552,38.85329,-25.9191,-8.415908,13.697541,19.45946,10.61544,-12.829037
172,25.2,25.76,0.06347378,0.09065755208333333,2965.9373312564094,2141.20829174888,-324.8418,79.83052,-167.29681,-29.157408,-52.21421,9.527518,42.059437,-25.467266,-10.776875,22.196672,17.519842,11.196732,-9.903478
174,25.76,26.39,0.055838257,0.08838665674603174,2863.486488369866,2133.319696721314,-345.74667,82.42401,-164.0645,-28.375149,-48.02292,22.602364,45.403755,-27.104141,-13.559291,22.25031,21.074846,11.51637,-16.965918
176,26.39,26.95,0.06015504,0.09204529879385964,3013.4937847409938,2262.1951135814074,-332.2144,73.377106,-149.54828,-25.788475,-58.46589,23.764174,43.466248,-24.71036,-14.521283,13.107913,21.631493,8.479191,-15.138809
178,26.95,28.77,0.06759444,0.09032614834337349,2886.567586492901,2049.7906651313106,-312.68237,90.45897,-170.41997,-23.808712,-59.258835,15.467982,43.663067,-27.796339,-6.3270655,9.461119,17.987179,8.495308,-12.246389
179,28.7,29.330000000000002,0.056099694,0.09252542162698413,2765.5027533437064,2015.0017582529956,-348.72406,99.51919,-155.07439,-23.049091,-50.308533,15.374001,49.515293,-22.50123,-11.617154,11.083949,17.317759,6.54227,-15.84653
222,33.53,35.839999999999996,0.06546225,0.08737886868990384,2696.377565470588,1993.9134943828026,-333.9217,90.46542,-147.20844,-26.251873,-56.418736,27.014313,55.408672,-23.487759,-10.066864,15.253073,26.577578,8.607659,-19.573246
239,37.589999999999996,38.01,0.05990156,0.10120442708333334,3122.1866380999645,2240.324030626714,-364.53998,84.343216,-115.315254,-2.3418317,-48.004868,35.34336,68.255104,-16.284592,-15.303775,19.869312,33.91816,3.978503,-22.539854
248,38.92,39.339999999999996,0.059895318,0.1076388888888889,3096.896249562453,2312.1585597156095,-385.27634,82.00818,-106.85177,-7.4375353,-36.661644,25.011576,62.15658,-18.262054,-24.480553,19.794615,24.866262,0.5188318,-16.914083
