segment_id,start_time,end_time,rms_energy,zero_crossing_rate,spectral_centroid,spectral_bandwidth,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13
2,0.0,1.0499999999999998,0.18263859,0.14316587094907407,2685.277831704372,2134.482379230108,-209.87917,54.684082,-42.45368,48.95289,49.928688,10.170297,-21.720642,-4.9285316,1.5597854,39.114162,-22.304113,3.725572,-16.405773
5,1.1199999999999999,3.01,0.19979478,0.13993413397606383,2618.0279323429204,1905.4233049044528,-180.92973,62.343708,-54.766273,51.304733,48.844673,4.802905,-26.18154,-7.8568006,4.5869966,41.493164,-21.14072,1.1388906,-16.54859
6,2.94,4.2700000000000005,0.18809424,0.13890883501838236,2568.7184932719306,1980.9614570896283,-184.34787,68.30502,-53.050327,43.179764,46.930386,3.931698,-21.796425,-5.5360284,3.0077343,37.090496,-24.132093,1.6281241,-17.68338
10,4.41,6.2299999999999995,0.18879183,0.14359761332417584,2799.749169709473,2177.3556311619313,-185.22646,55.42302,-49.63623,44.7601,57.455364,7.8536525,-28.449966,-3.5557382,2.731206,40.263687,-26.363365,4.739155,-21.015823
15,6.44,6.58,0.06550834,0.044962565104166664,1737.502327625279,2063.6832299997304,-291.42755,119.44381,-7.0764213,35.068867,30.67781,7.986667,-8.617803,-11.027,1.6854097,19.616589,-8.377655,-5.3785615,-8.092191
16,6.51,7.140000000000001,0.13625485,0.12474888392857143,2468.1237878296743,2179.634127141658,-216.52371,72.142,-35.651447,45.288082,50.462616,11.2243,-22.016714,-5.8437357,1.1286376,27.237722,-20.659527,5.587527,-17.607344
18,7.140000000000001,7.279999999999999,0.05871312,0.0572509765625,1864.9128303212456,2103.939276467332,-284.77487,112.98719,-16.46256,40.17238,31.979765,8.662257,-12.396979,-5.868936,2.6601653,21.061417,-8.931739,-10.738679,-10.525781
19,7.21,12.04,0.20115025,0.15265734442349138,2759.253251878009,2110.3384161800636,-166.8795,58.1715,-56.184765,46.110348,60.386604,3.1231875,-31.88383,-9.094885,-1.9341459,43.158077,-27.486568,9.093157,-19.259256
20,11.97,17.22,0.18868732,0.16225722111553784,2839.9974664203255,2097.034423310854,-168.32132,54.073456,-63.73669,51.582798,61.79473,6.218009,-27.810621,-10.618509,-2.6048205,44.7761,-28.64731,10.06632,-17.226028
21,17.15,17.5,0.117205314,0.13010475852272727,2567.0857935590325,2160.6237163745695,-203.37256,69.62482,-59.988705,41.93719,55.522156,13.01456,-21.857197,-8.720407,-4.617604,38.27257,-20.597706,4.860559,-16.826838
22,17.43,17.849999999999998,0.12914863,0.11857421875,2333.865132869409,2062.199690223312,-239.92642,83.01011,-42.594643,47.679028,42.561317,8.648282,-17.472418,-6.26418,2.444037,30.241047,-22.708546,9.374872,-11.779147
25,17.919999999999998,18.34,0.11883756,0.1024609375,2275.7535145316424,2137.1871055478696,-248.97902,89.57195,-27.804695,43.641483,42.11346,7.020287,-15.834736,-5.276775,2.4305544,25.982082,-19.63331,7.316286,-6.110951
27,18.34,20.44,0.1722667,0.15476168118990385,2847.429004055166,2186.2957749459183,-194.70523,54.00585,-56.735493,50.551228,56.849834,3.1058671,-22.316608,-7.345587,-0.47357458,42.999264,-24.990366,7.2551394,-15.8160095
