segment_id,start_time,end_time,rms_energy,zero_crossing_rate,spectral_centroid,spectral_bandwidth,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13
4,0.13999999999999999,1.89,0.11838215,0.030180832435344827,1900.0843183851282,2834.9835030564414,-225.24963,168.58902,-0.39898524,40.890457,-18.658577,12.923015,-0.6051924,5.8751173,0.17372885,0.3068779,-0.1060449,2.6500802,6.7055025
20,2.87,4.41,0.14627108,0.05627282873376623,2566.774228791342,3113.1268038517414,-208.62424,163.9877,-21.822666,44.003353,-23.449785,30.429161,-12.31311,7.108175,2.0746496,-5.5005946,7.6597114,-8.070977,-0.8805358
34,5.25,6.44,0.099498905,0.013106921487603305,1083.3658280470854,2067.495824266884,-280.105,204.16937,2.1293406,38.351128,-5.510657,19.047632,20.50725,3.3474016,2.3928344,9.012479,-6.3887334,2.7327209,13.052359
35,6.369999999999999,7.140000000000001,0.12782784,0.027456888338414635,1880.6556265330419,2784.819218538984,-217.4302,176.18008,-14.091805,52.102856,-5.083706,17.517508,-2.1847236,8.252455,-0.78769934,1.0584239,-1.7620771,-2.8928454,6.3672233
46,7.7700000000000005,9.52,0.15840328,0.027691720545977013,1839.923286419462,2639.3417113332284,-180.37303,176.14345,-23.089258,49.23129,-7.9527707,15.396847,0.5966144,3.2025003,6.986598,3.5424125,4.261682,-0.4841478,3.5699575
81,11.83,14.209999999999999,0.16649261,0.020968850590128756,1344.089215631257,1948.470611296429,-203.28331,199.25806,-31.214512,45.6503,11.494679,2.923821,15.512566,-1.7276576,3.9636326,3.009395,4.045207,4.627123,1.6032202
102,15.540000000000001,18.27,0.09997063,0.02318418115601504,1504.1850103334064,2290.6712782832074,-240.97754,183.52368,-13.000969,39.37461,-0.30285943,2.3235826,13.355835,2.2986374,-1.2655238,11.244456,5.897794,8.007782,6.521077
124,19.669999999999998,21.490000000000002,0.10294359,0.05224339606353591,2621.789411758072,3155.3772603553084,-190.87259,158.9726,-31.642956,45.500355,-25.926777,25.978222,-2.6172638,7.134683,10.837792,0.49827027,1.5572375,-8.223204,0.12509333
130,21.91,23.240000000000002,0.069085605,0.033365885416666664,1838.397017736311,2812.789901582043,-254.62697,187.462,-16.286116,17.158434,-25.696018,26.757915,-11.555658,13.122338,-0.49347964,-3.7510529,7.5938025,-17.0331,-0.38932937
143,25.76,26.599999999999998,0.08560668,0.04616178019662921,2392.4993923614097,3060.2973034938123,-215.70354,166.30247,-35.399834,28.516994,-15.925214,20.60156,-9.457394,15.090057,-3.4747338,-1.6173662,0.67205244,-5.6124687,1.7277428
153,27.299999999999997,28.98,0.11205479,0.03388145583832335,2323.2858625765334,3173.2811587108035,-208.80144,163.38342,-20.570202,46.28451,-18.437353,23.003986,-12.297954,6.6526217,-3.7929902,1.8738828,-1.8927075,-8.182662,-1.8227988
186,31.29,32.480000000000004,0.1471925,0.04213746126033058,2625.6812012879964,3409.7407126999365,-175.15808,153.85382,-24.134768,38.67853,-23.872782,28.315687,-7.8182087,9.986233,-2.6609616,-1.9216079,-5.564457,-8.446971,-2.672369
